,0,1,2,3,4,0
0,15.635202,1.7965496,3.7063203,0.59819937,-1.7157016,1
1,4.2457094,-7.381399,0.90542233,7.0548043,-1.1385466,1
2,5.5134473,-2.4125361,4.9237633,2.3800876,-9.885468,1
3,-5.23358,1.5340855,4.4584575,5.1476707,0.7300775,1
4,-6.329435,-3.8622441,1.8090461,-5.4584403,-8.488891,1
5,-12.4558,1.7245445,7.344269,1.9268148,0.43003282,1
6,4.0285606,-0.10917632,0.80989,-5.1309056,-7.5965357,1
7,-10.566318,-2.2866237,-0.4396419,4.721859,0.89996916,1
8,10.433391,8.526805,-1.1809413,6.851378,-0.86846334,1
9,-1.7369357,5.3397183,5.257894,8.856714,-0.5435026,1
10,-10.129039,4.662228,4.1269336,5.795942,0.43661508,1
11,-2.1881442,-1.7832317,1.2054478,2.690374,-13.037821,1
12,-8.531141,0.43062854,3.1488307,6.4178796,-2.2895155,1
13,4.074802,0.8099723,2.9026306,8.495266,8.970994,1
14,10.300176,3.6169705,-0.89471346,-0.3680353,-7.959434,0
15,4.487125,-7.907798,0.97571194,6.157127,-8.382798,2
16,-6.3270507,1.2452048,3.052149,0.13808195,-11.151184,2
17,4.6034255,5.2472467,8.546703,-4.411391,-2.7023273,2
18,-12.2298765,4.289413,3.2248607,8.365474,-2.941861,0
19,-3.6724648,8.167604,-3.0664158,-2.8461063,-14.067318,0
20,-5.1396723,3.123305,1.1965312,1.7783474,5.512897,0
21,-1.9016464,-2.9250097,-2.1165154,13.020449,2.8777106,0
22,-9.912643,2.9884882,-0.69999194,9.403396,-3.6826775,0
23,13.28506,5.7474756,-0.61104506,-0.61415,2.0521064,0
24,0.39419037,-6.3402963,-0.42812,13.636216,2.2382195,2
25,-3.705506,5.0163026,-4.968991,-4.982595,-9.691457,1
26,12.820068,6.0172076,-2.144739,4.0413556,0.347603,1
27,-5.1788435,0.2023852,3.8347654,12.474581,3.8692164,1
28,9.615382,2.10648,-2.643323,-4.483389,-10.722976,1
29,13.299721,0.30879134,3.3249044,2.532435,1.5340638,0
